date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:26:29	178/178	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2022%20Mar%202018%2022:26:21%20GMT	https://www.ethisch-hacker.nl/robots.txt		(from )
23:26:29	10298/-1	---M--	200	added ('OK')	text/html	date:Thu,%2022%20Mar%202018%2022:26:21%20GMT	https://www.ethisch-hacker.nl/	C:/Users/raymo/Documents/GitRepositories/test%20httrack/techforgood/www.ethisch-hacker.nl/index.html	(from )
23:26:30	1148/1148	---M--	200	added ('OK')	image/x-icon	date:Thu,%2022%20Mar%202018%2022:26:21%20GMT	https://www.ethisch-hacker.nl/uploads/images/favicon.ico	C:/Users/raymo/Documents/GitRepositories/test%20httrack/techforgood/www.ethisch-hacker.nl/uploads/images/favicon.ico	(from https://www.ethisch-hacker.nl/)
23:26:30	9701/9701	---M--	200	added ('OK')	text/css	date:Thu,%2022%20Mar%202018%2022:26:22%20GMT	https://www.ethisch-hacker.nl/tmp/cache/stylesheet_combined_84418df87121f06fbdacbd6664d82ae4.css	C:/Users/raymo/Documents/GitRepositories/test%20httrack/techforgood/www.ethisch-hacker.nl/tmp/cache/stylesheet_combined_84418df87121f06fbdacbd6664d82ae4.css	(from https://www.ethisch-hacker.nl/)
23:26:32	6073/6073	---M--	200	added ('OK')	application/javascript	date:Thu,%2022%20Mar%202018%2022:26:22%20GMT	https://www.ethisch-hacker.nl/uploads/js/parallax.min.js	C:/Users/raymo/Documents/GitRepositories/test%20httrack/techforgood/www.ethisch-hacker.nl/uploads/js/parallax.min.js	(from https://www.ethisch-hacker.nl/)
23:26:35	35943/35943	---MC-	200	added ('OK')	text/javascript	date:Mon,%2013%20Nov%202017%2020:19:12%20GMT	http://www.google-analytics.com/analytics.js	C:/Users/raymo/Documents/GitRepositories/test%20httrack/techforgood/www.google-analytics.com/analytics.js	(from https://www.ethisch-hacker.nl/)
23:26:35	84320/84320	---M--	200	added ('OK')	image/jpeg	date:Thu,%2022%20Mar%202018%2022:26:23%20GMT	https://www.ethisch-hacker.nl/uploads/images/ethischhacker_design/brochureKandidaten.jpg	C:/Users/raymo/Documents/GitRepositories/test%20httrack/techforgood/www.ethisch-hacker.nl/uploads/images/ethischhacker_design/brochureKandidaten.jpg	(from https://www.ethisch-hacker.nl/)
23:26:35	95992/95992	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.11.3/jquery.min.js	C:/Users/raymo/Documents/GitRepositories/test%20httrack/techforgood/ajax.googleapis.com/ajax/libs/jquery/1.11.3/jquery.min.js	(from https://www.ethisch-hacker.nl/)
23:26:35	1565/1565	---M--	200	added ('OK')	image/png	date:Thu,%2022%20Mar%202018%2022:26:26%20GMT	https://www.ethisch-hacker.nl/uploads/images/ethischhacker_design/arrows_down.png	C:/Users/raymo/Documents/GitRepositories/test%20httrack/techforgood/www.ethisch-hacker.nl/uploads/images/ethischhacker_design/arrows_down.png	(from https://www.ethisch-hacker.nl/)
23:26:35	123231/123231	---M--	200	added ('OK')	image/png	date:Thu,%2022%20Mar%202018%2022:26:27%20GMT	https://www.ethisch-hacker.nl/uploads/images/ethischhacker_design/brochureWerkgevers.png	C:/Users/raymo/Documents/GitRepositories/test%20httrack/techforgood/www.ethisch-hacker.nl/uploads/images/ethischhacker_design/brochureWerkgevers.png	(from https://www.ethisch-hacker.nl/)
23:26:35	1636020/1636020	---M--	200	added ('OK')	application/pdf	date:Thu,%2022%20Mar%202018%2022:26:23%20GMT	https://www.ethisch-hacker.nl/uploads/pdf/Kandidaten.pdf	C:/Users/raymo/Documents/GitRepositories/test%20httrack/techforgood/www.ethisch-hacker.nl/uploads/pdf/Kandidaten.pdf	(from https://www.ethisch-hacker.nl/)
